,CONF_T,RECALL_BI,PRECISION_BI,RECALL_IOU,PRECISION_IOU,RECALL_W_IOU,PRECISION_W_IOU
0,0.05,0.8258293838862559,0.8834072706480206,0.8495260663507109,0.7316326530612245,0.9063981042654028,0.7806122448979592
1,0.1,0.8258293838862559,0.8834072706480206,0.8495260663507109,0.7316326530612245,0.9063981042654028,0.7806122448979592
2,0.15,0.8258293838862559,0.8834072706480206,0.8495260663507109,0.7316326530612245,0.9063981042654028,0.7806122448979592
3,0.2,0.8258293838862559,0.8834072706480206,0.8495260663507109,0.7316326530612245,0.9063981042654028,0.7806122448979592
4,0.25,0.8258293838862559,0.8834072706480206,0.8495260663507109,0.7316326530612245,0.9063981042654028,0.7806122448979592
5,0.3,0.8258293838862559,0.8834072706480206,0.8388625592417062,0.75,0.8945497630331753,0.7997881355932204
6,0.35,0.8258293838862559,0.8834072706480206,0.8258293838862559,0.7710176991150443,0.8815165876777251,0.8230088495575221
7,0.4,0.8258293838862559,0.8834072706480206,0.816350710900474,0.7901376146788991,0.8720379146919431,0.8440366972477065
8,0.45,0.8258293838862559,0.8834072706480206,0.8056872037914692,0.8133971291866029,0.8542654028436019,0.8624401913875598
9,0.5,0.8293838862559242,0.8771929824561403,0.7890995260663507,0.8325,0.8353080568720379,0.88125
10,0.55,0.8127962085308057,0.8920676202860858,0.7701421800947867,0.8452535760728218,0.816350710900474,0.8959687906371911
11,0.6,0.7784360189573459,0.9,0.740521327014218,0.8585164835164835,0.7808056872037915,0.9052197802197802
12,0.65,0.7393364928909952,0.9136163982430454,0.7037914691943128,0.88,0.735781990521327,0.92
13,0.7,0.6966824644549763,0.9408,0.6516587677725119,0.90311986863711,0.6753554502369669,0.9359605911330049
14,0.75,0.5983412322274881,0.9619047619047619,0.5616113744075829,0.9294117647058824,0.5781990521327014,0.9568627450980393
15,0.8,0.46445497630331756,0.98,0.4324644549763033,0.9554973821989529,0.4395734597156398,0.9712041884816754
16,0.85,0.2476303317535545,0.9952380952380953,0.22511848341232227,0.9743589743589743,0.22985781990521326,0.9948717948717949
17,0.9,0.04028436018957346,1.0,0.041469194312796206,1.0,0.041469194312796206,1.0
18,0.95,0.0,0.0,0.0,0.0,0.0,0.0
