MERGING_R,Precision,Recall,N_PRED
0.05,0.7377521613832853,0.510129525074726,2082
0.1,0.7729556875285518,0.5619395549651278,2189
0.15,0.8057491289198606,0.6144138160079707,2296
0.2,0.8286902286902287,0.6619063434075058,2405
0.25,0.8457869634340223,0.7067419461972767,2516
0.3,0.8584615384615385,0.7412819661242113,2600
0.35,0.8651979088872293,0.7695117901029558,2678
0.4,0.8681037632444282,0.7891066090999668,2737
0.45,0.8692668833513904,0.799402191962803,2769
0.5,0.8705087157595162,0.8126868150116241,2811
0.55,0.8702855128657032,0.8199933576884756,2837
0.6,0.8708100558659218,0.8282962470939887,2864
0.65,0.8690517540812782,0.8309531717037529,2879
0.7,0.8665744901486346,0.8326137495848556,2893
0.75,0.8664831383344804,0.8362670209232813,2906
0.8,0.8647723382403286,0.8389239455330455,2921
0.85,0.8608370193943519,0.8402524078379277,2939
0.9,0.858739837398374,0.8419129857190302,2952
0.95,0.8546922300706358,0.8439056791763534,2973
